ID,tweet,fecha,usuario,dispositivo
1305219543413985282,"Me recordó a #Loretito y también a una youtuber que se dice Obradorista, llamándo nefastos a #AMLO y al #DoctorGatell. Hay qué bajarle el canal a esa loca!! https://t.co/w1zMrVEqcd",2020-09-13 18:59:23,OntoyTv,Twitter Web App
1305219424526491649,"Si ya compraste tu cachito de la #RifaDelAvion. Puedes caminar con la frente en alto. Acabas de hacer más por el país, que
@FelipeCalderon, EPN , Vicente Fox , Zedillo , LA RATA MAYOR SALINAS Y TODAS LAS RATOTAS JuntAs, en toda su miserable vida!
APOYO TOTAL #AMLO Y Q VIVA LA #4T https://t.co/h1ryoL33n9",2020-09-13 18:58:55,eabe222,Twitter Web App
1305219337305849857,"Faltan poco + d 9 meses para la elección intermedia. No nos equivoquemos. El voto de castigo en contra de #AMLO y su mal llamada #4T será durísimo por el desastre que vive #México.  Ni Lozoya,ni el avión presidencial ni los berrinches en Palacio Nacional lograrán cambiar ese voto",2020-09-13 18:58:34,HorrendiraSFP,Twitter Web App
1305219331471683584,"Nos está yendo mejor que en otros países con el #COVID19, destaca #AMLO
https://t.co/R3LAXmxL1G",2020-09-13 18:58:33,PublimetroMX,TweetDeck
1305218486449451014,"¿Y a mí qué me importa que cante Lozoya, si la inseguridad y los cárteles están fuera de control y mataron a mi esposo y a mis hijos? ¿Y a mí qué me importa que cante #Lozoya, si #AMLO sólo está regalando dinero a sus seguidores para asegurar su voto en la elección intermedia?",2020-09-13 18:55:11,HorrendiraSFP,Twitter Web App
1305218330236780547,"Pero por qué no avisaron que hiba a estar el Sr. López en el parque Cuitlahuac de @Alc_Iztapalapa?  Digo para llegar con unos amigos a recibirlo y comentarle que los amuletos, detentes y  calditos de pollo de la abuelita no sirvieron contra el COVID #amlo
https://t.co/ZiiwPimc4w",2020-09-13 18:54:34,salas1970,Twitter for Android
1305218244933046285,Vamos apoyar a #AMLO #CompraTuCachito https://t.co/MysAynzWdV,2020-09-13 18:54:14,alejandramejiat,Twitter for Android
1305218054025084929,"Me ayudan a DIFUNDIR

#AMLO 
#RedAMLO https://t.co/20TeGMRzuJ",2020-09-13 18:53:28,Vampiroperver,Twitter for Android
1305218039600705536,"@CARIBAX @GUSTBY1 @MBustillosMX @CARIBAX de mi parte te agradezco muchísimo todo tu apoyo a la 4Transformacion, y a #Amlo Entiendo tu molestia; no es justo, ni honesto adjudicarnos el trabajo, esfuerzo, y la imaginación de otras personas.",2020-09-13 18:53:25,GloriousGT,Twitter for iPhone
1305217978582142976,"Excelente Twitt d una gran figura Mundial tan querido en México y el continente @soluterionte 

#AMLO 
#RedAMLO 
#RedAmlove https://t.co/20TeGMRzuJ",2020-09-13 18:53:10,Vampiroperver,Twitter for Android
1305217925066952705,"@elpaismexico @CarlosLoret No es un delirio, es una estrategia electoral, lo que ganó la presidencia fue la rabia, frustración e impotencia hacia los anteriores gobiernos, eso es el capital electoral de #AMLO y el lo sabe perfectamente, por eso es su bandera que activa cada vez que baja preferencia",2020-09-13 18:52:57,iam_agentleman,Twitter for Android
1305217365978873862,"""Y a mí qué me importa que cante #Lozoya, si #AMLO dijo que el #coronavirus no era tan dañino, nos invitó a salir y a abrazarnos, y dijo que la #pandemia le caía como ""anillo al dedo"" a su movimiento, mientras en hospitales y casas miles de mexicanos morían sin atención médica?""",2020-09-13 18:50:44,HorrendiraSFP,Twitter Web App
1305216956954337281,"Teniendo a una MAQUINARIA de MEDIOS a sus servicio CUALQUIERA lo hace!, ni duda cabe que todo está CAMPAÑA MEDIÁTICA es con el fin de DEPONER a éste gobierno!!!
Urge que el presidente #AMLO haga CUMPLIR la ley!,sino al rato no podrá BAJÁRSELOS de las barbas!!!
#urgeungolpedetimón",2020-09-13 18:49:06,ignacyo,Twitter Web App
1305216494515687425,"A los que se emocionan por crear tendencias en pro o en contra de #amlo en twitter, y además sienten que son grandes victorias; les digo que estan bien sonsos, pues en la vida real los RT, favs y hashtags no cuentan, su realidad es muy distinta a la percepción real en las calles",2020-09-13 18:47:16,nosoybuero,Twitter Web App
